problem_statement,problem_tags
You are given n sticks with positive integral length a 1 a 2 ldots a n You can perform the following operation any number of times possibly zero choose one stick then either increase or decrease its length by 1 After each operation all sticks should have positive lengths What is the minimum number of operations that you have to perform such that it is possible to select three of the n sticks and use them without breaking to form an An is a triangle where all of its three sides have the same length ,"[1, 0, 0, 0, 0]"
There is a grid consisting of 2 rows and m columns The rows are numbered from 1 to 2 from top to bottom The columns are numbered from 1 to m from left to right The robot starts in a cell 1 1 In one second it can perform either of two actions move into a cell adjacent by a side up right down or left remain in the same cell The robot is not allowed to move outside the grid Initially all cells except for the cell 1 1 are locked Each cell i j contains a value a i j the moment that this cell gets unlocked The robot can only move into a cell i j if at least a i j seconds have passed before the move The robot should visit all cells cell 1 1 is considered entered at the start It can finish in any cell What is the fastest the robot can achieve that ,"[1, 0, 1, 1, 1]"
Mishka received a gift of multicolored pencils for his birthday Unfortunately he lives in a monochrome world where everything is of the same color and only saturation differs This pack can be represented as a sequence of integer numbers saturation of the color of each pencil Now Mishka wants to put all the mess in the pack in order He has an infinite number of empty boxes to do this He would like to fill some boxes in such a way that Each pencil belongs to one box Each non empty box has at least pencils in it If pencils and belong to the same box then where means absolute value of Note that the opposite is optional there can be pencils and such that and they belong to different boxes Help Mishka to determine if it s possible to distribute all the pencils into boxes Print if there exists such a distribution Otherwise print ,"[1, 0, 0, 1, 1]"
Limak and Radewoosh are going to compete against each other in the upcoming algorithmic contest They are equally skilled but they won t solve problems in the same order There will be problems The th problem has initial score and it takes exactly minutes to solve it Problems are sorted by difficulty it s guaranteed that and A constant is given too representing the speed of loosing points Then submitting the th problem at time minutes after the start of the contest gives points Limak is going to solve problems in order sorted increasingly by Radewoosh is going to solve them in order sorted decreasingly by Your task is to predict the outcome print the name of the winner person who gets more points at the end or a word in case of a tie You may assume that the duration of the competition is greater or equal than the sum of all That means both Limak and Radewoosh will accept all problems ,"[0, 0, 1, 0, 0]"
While most students still sit their exams the tractor college has completed the summer exam session In fact students study only one subject at this college the Art of Operating a Tractor Therefore at the end of a term a student gets only one mark a three satisfactory a four good or a five excellent Those who score lower marks are unfortunately expelled The college has students and oddly enough each of them can be on scholarship The size of the scholarships varies each term Since the end of the term exam has just ended it s time to determine the size of the scholarship to the end of next term The monthly budget for the scholarships of the Tractor college is rubles To distribute the budget optimally you must follow these rules The students who received the same mark for the exam should receive the same scholarship Let us denote the size of the scholarship in roubles for students who have received marks and for the exam as and respectively The values and must be integers and satisfy the inequalities Let s assume that show how many students received marks and for the exam respectively The budget of the scholarship should be fully spent on them that is Let s introduce function the value that shows how well the scholarships are distributed between students In the optimal distribution function takes the possible value Given the results of the exam and the budget size you have to find the optimal distribution of the scholarship ,"[0, 1, 1, 0, 0]"
By the year 3018 Summer Informatics School has greatly grown Hotel Berendeetronik has been chosen as a location of the school The camp consists of n houses with n 1 pathways between them It is possible to reach every house from each other using the pathways Everything had been perfect until the rains started The weather forecast promises that rains will continue for m days A special squad of teachers was able to measure that the i th pathway connecting houses u i and v i before the rain could be passed in b i seconds Unfortunately the rain erodes the roads so with every day the time to pass the road will increase by a i seconds In other words on the t th from zero day after the start of the rain it will take a i cdot t b i seconds to pass through this road Unfortunately despite all the efforts of teachers even in the year 3018 not all the students are in their houses by midnight As by midnight all students have to go to bed it is important to find the maximal time between all the pairs of houses for each day so every student would know the time when he has to run to his house Find all the maximal times of paths between every pairs of houses after t 0 t 1 t m 1 days ,"[0, 0, 0, 0, 1]"
You are a rebel leader and you are planning to start a revolution in your country But the evil Government found out about your plans and set your punishment in the form of correctional labor You must paint a fence which consists of 10 100 planks in two colors in the following way suppose planks are numbered from left to right from 0 if the index of the plank is divisible by r such planks have indices 0 r 2r and so on then you must paint it red if the index of the plank is divisible by b such planks have indices 0 b 2b and so on then you must paint it blue if the index is divisible both by r and b to paint the plank otherwise you don t need to paint the plank at all and it is forbidden to spent paint on it Furthermore the Government added one additional restriction to make your punishment worse Let s list all planks of the fence in ascending order if there are k consecutive planks with the same color in this list then the Government will state that you failed the labor and execute you immediately If you don t paint the fence according to the four aforementioned conditions you will also be executed The question is will you be able to accomplish the labor the time is not important or the execution is unavoidable and you need to escape at all costs ,"[1, 1, 0, 0, 0]"
Valera had two bags of potatoes the first of these bags contains potatoes and the second potatoes Valera very scattered boy so the first bag of potatoes it contains potatoes Valera lost Valera remembers that the total amount of potatoes in the two bags firstly was not gerater than and secondly was divisible by Help Valera to determine how many potatoes could be in the first bag Print all such possible numbers in ascending order ,"[1, 1, 1, 0, 0]"
Carousel Boutique is busy again Rarity has decided to visit the pony ball and she surely needs a new dress because going out in the same dress several times is a sign of bad manners First of all she needs a dress pattern which she is going to cut out from the rectangular piece of the multicolored fabric The piece of the multicolored fabric consists of n times m separate square scraps Since Rarity likes dresses in style a dress pattern must only include scraps sharing the same color A dress pattern must be the square and since Rarity is fond of rhombuses the sides of a pattern must form a 45 circ angle with sides of a piece of fabric that way it will be resembling the traditional picture of a rhombus Examples of proper dress patterns Examples of improper dress patterns The first one consists of multi colored scraps the second one goes beyond the bounds of the piece of fabric the third one is not a square with sides forming a 45 circ angle with sides of the piece of fabric Rarity wonders how many ways to cut out a dress pattern that satisfies all the conditions that do exist Please help her and satisfy her curiosity so she can continue working on her new masterpiece ,"[0, 0, 1, 1, 0]"
Ilya is very fond of graphs especially trees During his last trip to the forest Ilya found a very interesting tree rooted at vertex There is an integer number written on each vertex of the tree the number written on vertex is equal to Ilya believes that the beauty of the vertex is the greatest common divisor of all numbers written on the vertices on the path from the root to including this vertex itself In addition Ilya can change the number in one arbitrary vertex to or leave all vertices unchanged Now for each vertex Ilya wants to know the maximum possible beauty it can have ,"[0, 1, 0, 0, 0]"
You are given a tree that has vertices which are numbered from to where the vertex number one is the root Each edge has weight and strength Botanist Innokentiy who is the only member of the jury of the Olympiad in Informatics doesn t like broken trees The tree is broken if there is such an edge the strength of which is less than the sum of weight of subtree s edges to which it leads It is allowed to reduce weight of any edge by arbitrary integer value but then the strength of its edge is reduced by the same value It means if the weight of the edge is and the strength is then by the reducing the weight by its weight will equal and the strength will equal It is not allowed to increase the weight of the edge Your task is to get the tree which is not broken by reducing the weight of edges of the given tree and also all edged should have the positive weight moreover the total weight of all edges should be as large as possible It is obvious that the strength of edges can not be negative however it can equal zero if the weight of the subtree equals zero ,"[1, 0, 0, 1, 0]"
There are n points 1 2 ldots n each point i has a number a i on it You re playing a game on them Initially you are at point 1 When you are at point i take following steps If 1 le i le n go to i a i Otherwise the game ends Before the game begins you can choose two integers x and y satisfying 1 le x le n n le y le n and replace a x with y set a x y Find the number of distinct pairs x y such that the game that you start after making the change ends in a finite number of steps Notice that you do not have to satisfy a x not y ,"[0, 0, 1, 0, 0]"
Vasya has an array of integers of length Vasya performs the following operations on the array on each step he finds the longest segment of consecutive equal integers the leftmost if there are several such segments and removes it For example if Vasya s array is then after one operation it becomes Compute the number of operations Vasya should make until the array becomes empty i e Vasya removes all elements from it ,"[0, 0, 1, 0, 1]"
Vasya has days of vacations So he decided to improve his IT skills and do sport Vasya knows the following information about each of this days whether that gym opened and whether a contest was carried out in the Internet on that day For the th day there are four options on this day the gym is closed and the contest is not carried out on this day the gym is closed and the contest is carried out on this day the gym is open and the contest is not carried out on this day the gym is open and the contest is carried out On each of days Vasya can either have a rest or write the contest if it is carried out on this day or do sport if the gym is open on this day Find the minimum number of days on which Vasya will have a rest it means he will not do sport and write the contest at the same time The only limitation that Vasya has ,"[0, 0, 0, 1, 0]"
There are n people on the number line the i th person is at point a i and wants to go to point b i For each person a i b i and the starting and ending points of all people are distinct That is all of the 2n numbers a 1 a 2 dots a n b 1 b 2 dots b n are distinct All the people will start moving simultaneously at a speed of 1 unit per second until they reach their final point b i When two people meet at the same point they will greet each other once How many greetings will there be Note that a person can still greet other people even if they have reached their final point ,"[0, 0, 0, 0, 1]"
Vasya has a multiset s consisting of n integer numbers Vasya calls some number x nice if it appears in the multiset exactly once For example multiset 1 1 2 3 3 3 4 contains nice numbers 2 and 4 Vasya wants to split multiset s into two multisets a and b in such a way that the quantity of nice numbers in multiset a would be the same as the quantity of nice numbers in multiset b the quantity of numbers to appear exactly once in multiset a and the quantity of numbers to appear exactly once in multiset b ,"[1, 1, 1, 1, 0]"
You have completed many programming projects In fact there are exactly n types of programming projects and you have completed a i projects of type i Your r sum has limited space but you want to carefully choose them in such a way that maximizes your chances of getting hired You want to include several projects of the same type to emphasize your expertise but you also don t want to include so many that the low quality projects start slipping in Specifically you determine the following quantity to be a good indicator of your chances of getting hired f b 1 ldots b n sum limits i 1 n b i a i b i 2 Here b i denotes the number of projects of type i you include in your r sum Of course you cannot include more projects than you have completed so you require 0 le b i le a i for all i Your r sum only has enough room for k projects and you will absolutely not be hired if your r sum has empty space so you require sum limits i 1 n b i k Find values for b 1 ldots b n that maximize the value of f b 1 ldots b n while satisfying the above two constraints ,"[1, 1, 0, 0, 0]"
VK just opened its second HQ in St Petersburg Side of its office building has a huge string s written on its side This part of the office is supposed to be split into m meeting rooms in such way that meeting room walls are strictly between letters on the building Obviously meeting rooms should not be of size 0 but can be as small as one letter wide Each meeting room will be named after the substring of s written on its side For each possible arrangement of m meeting rooms we ordered a test meeting room label for the meeting room with lexicographically name When delivered those labels got sorted lexicographically What is printed on kth label of the delivery ,"[0, 0, 0, 1, 0]"
The array a 1 a 2 ldots a m is initially filled with zeroes You are given n pairwise distinct segments 1 le l i le r i le m You have to select an arbitrary subset of these segments in particular you may select an empty set Next you do the following For each i 1 2 ldots n if the segment l i r i has been selected to the subset then for each index l i le j le r i you increase a j by 1 i e a j is replaced by a j 1 If the segment l i r i has not been selected the array does not change Next after processing all values of i 1 2 ldots n you compute max a as the maximum value among all elements of a Analogously compute min a as the minimum value Finally the cost of the selected subset of segments is declared as max a min a Please find the maximum cost among all subsets of segments ,"[1, 0, 0, 1, 1]"
You are given an array a consisting of n integers The array is sorted if a 1 le a 2 le dots le a n You want to make the array a sorted by applying the following operation choose an integer x then for every i in 1 n replace a i by a i x Find any value of x that will make the array sorted or report that there is no such value ,"[0, 1, 0, 0, 0]"
The new academic year has started and Berland s university has n first year students They are divided into k academic groups however some of the groups might be empty Among the students there are m pairs of acquaintances and each acquaintance pair might be both in a common group or be in two different groups Alice is the curator of the first years she wants to host an entertaining game to make everyone know each other To do that she will select two different academic groups and then divide the students of those groups into two teams The game requires that there are no acquaintance pairs inside each of the teams Alice wonders how many pairs of groups she can select such that it ll be possible to play a game after that All students of the two selected groups must take part in the game Please note that the teams Alice will form for the game don t need to coincide with groups the students learn in Moreover teams may have different sizes or even be empty ,"[0, 0, 0, 0, 1]"
You play a computer game In this game you lead a party of m heroes and you have to clear a dungeon with n monsters Each monster is characterized by its power a i Each hero is characterized by his power p i and endurance s i The heroes clear the dungeon day by day In the beginning of each day you choose a hero exactly one who is going to enter the dungeon this day When the hero enters the dungeon he is challenged by the first monster which was not defeated during the previous days so if the heroes have already defeated k monsters the hero fights with the monster k 1 When the hero fights the monster there are two possible outcomes if the monster s power is strictly greater than the hero s power the hero retreats from the dungeon The current day ends otherwise the monster is defeated After defeating a monster the hero either continues fighting with the next monster or leaves the dungeon He leaves the dungeon either if he has already defeated the number of monsters equal to his endurance during this day so the i th hero cannot defeat more than s i monsters during each day or if all monsters are defeated otherwise he fights with the next monster When the hero leaves the dungeon the current day ends Your goal is to defeat the last monster What is the minimum number of days that you need to achieve your goal Each day you have to use exactly one hero it is possible that some heroes don t fight the monsters at all Each hero can be used arbitrary number of times ,"[1, 0, 0, 1, 1]"
Iahub likes chess very much He even invented a new chess piece named Coder A Coder can move and attack one square horizontally or vertically More precisely if the Coder is located at position he can move to or attack positions and Iahub wants to know how many Coders can be placed on an chessboard so that no Coder attacks any other Coder ,"[0, 0, 1, 0, 0]"
Alice and Bob are playing a game on a checkered board The board has h rows numbered from top to bottom and w columns numbered from left to right Both players have a chip each Initially Alice s chip is located at the cell with coordinates x a y a row x a column y a and Bob s chip is located at x b y b It is guaranteed that the initial positions of the chips do not coincide Players take turns making moves with Alice starting On her turn Alice can move her chip one cell down or one cell down right or down left diagonally Bob on the other hand moves his chip one cell up up right or up left It is not allowed to make moves that go beyond the board boundaries More formally if at the beginning of Alice s turn she is in the cell with coordinates x a y a then she can move her chip to one of the cells x a 1 y a x a 1 y a 1 or x a 1 y a 1 Bob on his turn from the cell x b y b can move to x b 1 y b x b 1 y b 1 or x b 1 y b 1 The new chip coordinates x y must satisfy the conditions 1 le x le h and 1 le y le w Example game state Alice plays with the white chip Bob with the black one Arrows indicate possible moves A player immediately wins if they place their chip in a cell occupied by the other player s chip If either player cannot make a move Alice if she is in the last row i e x a h Bob if he is in the first row i e x b 1 the game immediately ends in a draw What will be the outcome of the game if both opponents play optimally ,"[1, 1, 0, 0, 0]"
The Little Elephant loves to play with color cards He has cards each has exactly two colors the color of the front side and the color of the back side Initially all the cards lay on the table with the front side up In one move the Little Elephant can turn any card to the other side The Little Elephant thinks that a set of cards on the table is funny if at least half of the cards have the same color for each card the color of the upper side is considered Help the Little Elephant to find the minimum number of moves needed to make the set of cards funny ,"[0, 0, 0, 0, 1]"
Absent minded Masha got set of cubes for her birthday At each of 6 faces of each cube there is exactly one digit from 0 to 9 Masha became interested what is the largest natural such she can make using her new cubes all integers from 1 to To make a number Masha can rotate her cubes and put them in a row After that she looks at upper faces of cubes from left to right and reads the number The number can t contain leading zeros It s not required to use all cubes to build a number Pay attention Masha can t make digit 6 from digit 9 and vice versa using cube rotations ,"[0, 0, 1, 0, 0]"
Tree is a connected graph without cycles A leaf of a tree is any vertex connected with exactly one other vertex You are given a tree with vertices and a root in the vertex There is an ant in each leaf of the tree In one second some ants can simultaneously go to the parent vertex from the vertex they were in No two ants can be in the same vertex simultaneously except for the root of the tree Find the minimal time required for all ants to be in the root of the tree Note that at start the ants are only in the leaves of the tree ,"[1, 0, 0, 0, 0]"
Calculate the minimum number of characters you need to change in the string so that it contains at least different letters or print that it is impossible String consists only of lowercase Latin letters and it is allowed to change characters only to lowercase Latin letters too ,"[1, 0, 1, 0, 0]"
Monocarp is participating in a programming contest which features 26 problems named from to The problems are sorted by difficulty Moreover it s known that Monocarp can solve problem in 1 minute problem in 2 minutes problem in 26 minutes After the contest you discovered his contest log a string consisting of uppercase Latin letters such that the i th letter tells which problem Monocarp was solving during the i th minute of the contest If Monocarp had spent enough time in total on a problem to solve it he solved it Note that Monocarp could have been thinking about a problem after solving it Given Monocarp s contest log calculate the number of problems he solved during the contest ,"[0, 0, 1, 0, 0]"
You are asked to watch your nephew who likes to play with toy blocks in a strange way He has n boxes and the i th box has a i blocks His game consists of two steps he chooses an arbitrary box i he tries to move blocks from the i th box to other boxes If he can make the same number of blocks in each of n 1 other boxes then he will be happy otherwise will be sad Note that your nephew can only move the blocks from the chosen box to the other boxes he cannot move blocks from the other boxes You don t want to make your nephew sad so you decided to put several extra blocks into some boxes in such a way that no matter which box i he chooses he won t be sad What is the minimum number of extra blocks you need to put ,"[1, 1, 0, 0, 0]"
The Berland road network consists of cities and of bidirectional roads The cities are numbered from 1 to where the main capital city has number and the culture capital number The road network is set up so that it is possible to reach any city from any other one by the roads Moving on each road in any direction takes the same time All residents of Berland are very lazy people and so when they want to get from city to city they always choose one of the shortest paths no matter which one The Berland government wants to make this country s road network safer For that it is going to put a police station in one city The police station has a rather strange property when a citizen of Berland is driving along the road with a police station at one end of it the citizen drives more carefully so all such roads are considered safe The roads both ends of which differ from the city with the police station are dangerous Now the government wonders where to put the police station so that the average number of safe roads for the shortest paths from the cultural capital to the main capital would take the maximum value ,"[0, 0, 0, 1, 0]"
Dark is going to attend Motarack s birthday Dark decided that the gift he is going to give to Motarack is an array a of n non negative integers Dark created that array 1000 years ago so some elements in that array disappeared Dark knows that Motarack hates to see an array that has two adjacent elements with a high absolute difference between them He doesn t have much time so he wants to choose an integer k 0 leq k leq 10 9 and replaces all missing elements in the array a with k Let m be the maximum absolute difference between all adjacent elements i e the maximum value of a i a i 1 for all 1 leq i leq n 1 in the array a after Dark replaces all missing elements with k Dark should choose an integer k so that m is minimized Can you help him ,"[1, 0, 0, 0, 0]"
Monocarp and Polycarp are playing a computer game This game features n bosses for the playing to kill numbered from 1 to n They will fight boss the following way Monocarp makes k attempts to kill the boss Polycarp makes k attempts to kill the boss Monocarp makes k attempts to kill the boss Polycarp makes k attempts to kill the boss Monocarp kills the i th boss on a i th attempt Polycarp kills the i th boss on b i th attempt After one of them kills the i th boss they move on to the i 1 st boss The attempt counters reset for both of them Once one of them kills the n th boss the game ends Find all values of k from 1 to n such that Monocarp kills ,"[0, 1, 0, 0, 1]"
You are given a matrix a consisting of n rows and m columns Each cell contains an integer in it You can change the order of rows arbitrarily including leaving the initial order but you can t change the order of cells in a row After you pick some order of rows you traverse the whole matrix the following way firstly visit all cells of the first column from the top row to the bottom one then the same for the second column and so on During the traversal you write down the sequence of the numbers on the cells in the same order you visited them Let that sequence be s 1 s 2 dots s nm The traversal is k acceptable if for all i 1 le i le nm 1 s i s i 1 ge k Find the maximum integer k such that there exists some order of rows of matrix a that it produces a k acceptable traversal ,"[0, 0, 0, 1, 0]"
Let s call a number good if it contains all digits not exceeding You ve got a number and an array containing numbers Find out how many good numbers are in count each number every time it occurs in array ,"[0, 0, 1, 0, 0]"
Vasily has a deck of cards consisting of cards There is an integer on each of the cards this integer is between and inclusive It is possible that some cards have the same integers on them Vasily decided to sort the cards To do this he repeatedly takes the top card from the deck and if the number on it equals the minimum number written on the cards in the deck then he places the card away Otherwise he puts it under the deck and takes the next card from the top and so on The process ends as soon as there are no cards in the deck You can assume that Vasily always knows the minimum number written on some card in the remaining deck but doesn t know where this card or these cards is You are to determine the total number of times Vasily takes the top card from the deck ,"[0, 0, 1, 0, 1]"
You are given two strings and consisting of small Latin letters string can also contain characters of string is calculated by following metric Any two letters can be swapped positions these operations can be performed arbitrary number of times over any pair of positions Among all resulting strings you choose the one with the largest number of occurrences of string is this number of occurrences You should replace all characters with small Latin letters in such a way that the of string is maximal ,"[1, 0, 1, 0, 0]"
You need to execute several tasks each associated with number of processors it needs and the compute power it will consume You have sufficient number of analog computers each with enough processors for any task Each computer can execute up to one task at a time and no more than two tasks total The first task can be any the second task on each computer must use strictly less power than the first You will assign between 1 and 2 tasks to each computer You will then first execute the first task on each computer wait for all of them to complete and then execute the second task on each computer that has two tasks assigned If the average compute power per utilized processor the sum of all consumed powers for all tasks presently running divided by the number of utilized processors across all computers exceeds some unknown threshold during the execution of the first tasks the entire system will blow up There is no restriction on the second tasks execution Find the lowest threshold for which it is possible Due to the specifics of the task you need to print the answer multiplied by 1000 and rounded up ,"[1, 0, 0, 1, 0]"
After rejecting 10 100 data structure problems Errorgorn is very angry at Anton and decided to kill him Anton s DNA can be represented as a string a which only contains the characters there are only 4 distinct characters Errorgorn can change Anton s DNA into string b which must be a of a However Anton s body can defend against this attack In 1 second his body can swap 2 characters of his DNA to transform it back to a Anton s body is smart and will use the minimum number of moves To maximize the chance of Anton dying Errorgorn wants to change Anton s DNA the string that maximizes the time for Anton s body to revert his DNA But since Errorgorn is busy making more data structure problems he needs your help to find the best string B Can you help him ,"[0, 1, 0, 0, 1]"
Alice and Bob play 5 in a row game They have a playing field of size In turns they put either crosses or noughts one at a time Alice puts crosses and Bob puts noughts In current match they have made some turns and now it s Alice s turn She wonders if she can put cross in such empty cell that she wins immediately Alice wins if some crosses in the field form line of length This line can be horizontal vertical and diagonal ,"[0, 0, 1, 0, 0]"
You have a string where is the length of string and its th character Let s introduce several definitions A substring of string is string The prefix of string of length is string The suffix of string of length is string Your task is for any prefix of string which matches a suffix of string print the number of times it occurs in string as a substring ,"[0, 0, 0, 1, 0]"
Shaass has books He wants to make a bookshelf for all his books He wants the bookshelf s dimensions to be as small as possible The thickness of the th book is and its pages width is equal to The thickness of each book is either or All books have the same page heights Shaass puts the books on the bookshelf in the following way First he selects some of the books and put them vertically Then he puts the rest of the books horizontally above the vertical books The sum of the widths of the horizontal books must be no more than the total thickness of the vertical books A sample arrangement of the books is depicted in the figure Help Shaass to find the minimum total thickness of the vertical books that we can achieve ,"[1, 0, 0, 1, 0]"
Vasya has an array consisting of positive integer numbers Vasya wants to divide this array into two non empty consecutive parts the prefix and the suffix so that the sum of all elements in the first part equals to the sum of elements in the second part It is not always possible so Vasya will move some element before dividing the array Vasya will erase some element and insert it into an arbitrary position Can Vasya divide the array after choosing the right element to move and its new position ,"[0, 0, 1, 0, 1]"
Jeff has become friends with Furik Now these two are going to play one quite amusing game At the beginning of the game Jeff takes a piece of paper and writes down a permutation consisting of numbers Then the guys take turns to make moves Jeff moves first During his move Jeff chooses two adjacent permutation elements and then the boy swaps them During his move Furic tosses a coin and if the coin shows heads he chooses a random pair of adjacent elements with indexes and for which an inequality holds and swaps them But if the coin shows tails Furik chooses a random pair of adjacent elements with indexes and for which the inequality holds and swaps them If the coin shows heads or tails and Furik has multiple ways of adjacent pairs to take then he uniformly takes one of the pairs If Furik doesn t have any pair to take he tosses a coin one more time The game ends when the permutation is sorted in the increasing order Jeff wants the game to finish as quickly as possible that is he wants both players to make as few moves as possible Help Jeff find the minimum mathematical expectation of the number of moves in the game if he moves optimally well You can consider that the coin shows the heads or tails with the probability of percent ,"[0, 0, 0, 1, 0]"
Monocarp has n numbers 1 2 dots n and a set initially empty He adds his numbers to this set n times in some order During each step he adds a new number which has not been present in the set before In other words the sequence of added numbers is a permutation of length n Every time Monocarp adds an element into the set he writes out a character if the element Monocarp is trying to insert becomes the maximum element in the set Monocarp writes out the character if the element Monocarp is trying to insert becomes the minimum element in the set Monocarp writes out the character if none of the above Monocarp writes out the character You are given a string s of n 1 characters which represents the characters written out by Monocarp in the order he wrote them out You have to process m queries to the string Each query has the following format i c replace s i with the character c Both before processing the queries and after each query you have to calculate the number of different ways to order the integers 1 2 3 dots n such that if Monocarp inserts the integers into the set in that order he gets the string s Since the answers might be large print them modulo 998244353 ,"[0, 1, 0, 0, 1]"
Mishka is a little polar bear As known little bears loves spending their free time playing dice for chocolates Once in a wonderful sunny morning walking around blocks of ice Mishka met her friend Chris and they started playing the game Rules of the game are very simple at first number of rounds is defined In every round each of the players throws a cubical dice with distinct numbers from to written on its faces Player whose value after throwing the dice is greater wins the round In case if player dice values are equal no one of them is a winner In average player who won most of the rounds is the winner of the game In case if two players won the same number of rounds the result of the game is draw Mishka is still very little and can t count wins and losses so she asked you to watch their game and determine its result Please help her ,"[0, 0, 1, 0, 0]"
Karlsson has recently discovered a huge stock of berry jam jars in the basement of the house More specifically there were 2n jars of strawberry and blueberry jam All the 2n jars are arranged in a row The stairs to the basement are exactly in the middle of that row So when Karlsson enters the basement he sees exactly n jars to his left and n jars to his right For example the basement might look like this Being the starightforward man he is he immediately starts eating the jam In one minute he chooses to empty either the first non empty jar to his left or the first non empty jar to his right Finally Karlsson decided that at the end the amount of full strawberry and blueberry jam jars should become the same For example this might be the result Jars are numbered from 1 to 2n from left to right so Karlsson initially stands between jars n and n 1 What is the minimum number of jars Karlsson is required to empty so that an equal number of full strawberry and blueberry jam jars is left Your program should answer t independent test cases ,"[1, 0, 1, 1, 1]"
You are given a 1 by n pixel image The i th pixel of the image has color a i For each color the number of pixels of that color is 20 You can perform the following operation which works like the bucket tool in paint programs on this image pick a color an integer from 1 to n choose a pixel in the image for all pixels connected to the selected pixel change their colors to the selected color two pixels of the same color are considered connected if all the pixels between them have the same color as those two pixels Compute the minimum number of operations needed to make all the pixels in the image have the same color ,"[1, 0, 0, 1, 0]"
There are people sitting in a line at the table For each person we know that he always tells either the truth or lies Little Serge asked them how many of you always tell the truth Each of the people at the table knows everything who is an honest person and who is a liar about all the people at the table The honest people are going to say the correct answer the liars are going to say any integer from 1 to which is not the correct answer Every liar chooses his answer regardless of the other liars so two distinct liars may give distinct answer Serge does not know any information about the people besides their answers to his question He took a piece of paper and wrote integers where is the answer of the th person in the row Given this sequence Serge determined that exactly people sitting at the table Serge wonders how many variants of people s answers sequences of answers of length there are where one can say that exactly people sitting at the table apparently lie As there can be rather many described variants of answers count the remainder of dividing the number of the variants by ,"[0, 0, 0, 1, 0]"
You are given a four digit pin code consisting of digits from 0 to 9 that needs to be entered Initially the cursor points to the digit 1 In one second you can perform exactly one of the following two actions Press the cursor to display the current digit Move the cursor to any adjacent digit The image above shows the device you are using to enter the pin code For example for the digit 5 the adjacent digits are 4 and 6 and for the digit 0 there is only one adjacent digit 9 Determine the minimum number of seconds required to enter the given four digit pin code ,"[0, 1, 0, 0, 0]"
You have a board represented as a grid with 2 times n cells The first k 1 cells on the first row and first k 2 cells on the second row are colored in white All other cells are colored in black You have w white dominoes 2 times 1 tiles both cells are colored in white and b black dominoes 2 times 1 tiles both cells are colored in black You can place a white domino on the board if both board s cells are white and not occupied by any other domino In the same way you can place a black domino if both cells are black and not occupied by any other domino Can you place all w b dominoes on the board if you can place dominoes both horizontally and vertically ,"[0, 1, 0, 0, 0]"
Petya has a rooted tree with an integer written on each vertex The vertex 1 is the root You are to answer some questions about the tree A tree is a connected graph without cycles A rooted tree has a special vertex called the root The parent of a node v is the next vertex on the shortest path from v to the root Each question is defined by three integers v l and k To get the answer to the question you need to perform the following steps First write down the sequence of all integers written on the shortest path from the vertex v to the root including those written in the v and the root Count the number of times each integer occurs Remove all integers with less than l occurrences Replace the sequence removing all duplicates and ordering the elements by the number of occurrences in the original list in increasing order In case of a tie you can choose the order of these elements arbitrary The answer to the question is the k th number in the remaining sequence Note that the answer is not always uniquely determined because there could be several orderings Also it is possible that the length of the sequence on this step is less than k in this case the answer is 1 For example if the sequence of integers on the path from v to the root is 2 2 1 7 1 1 4 4 4 4 l 2 and k 2 then the answer is 1 Please answer all questions about the tree ,"[0, 0, 0, 0, 1]"
You have a weighted tree consisting of vertices Each vertex is either painted black or is painted red A red and black tree is called if for any its vertex we can find a black vertex at distance at most The distance between two nodes is the shortest path between them You have a red and black tree Your task is to make it beautiful in the minimum number of color swap operations In one color swap operation you can choose two vertices of different colors and paint each of them the other color In other words if you choose a red vertex and a black vertex then in one operation you are allowed to paint black and paint red Print the minimum number of required actions ,"[0, 1, 1, 1, 0]"
Baby Ehab was toying around with arrays He has an array a of length n He defines an array to be good if there s no way to partition it into 2 subsequences such that the sum of the elements in the first is equal to the sum of the elements in the second Now he wants to remove the minimum number of elements in a so that it becomes a good array Can you help him A sequence b is a subsequence of an array a if b can be obtained from a by deleting some possibly zero or all elements A partitioning of an array is a way to divide it into 2 subsequences such that every element belongs to exactly one subsequence so you must use all the elements and you can t share any elements ,"[0, 1, 0, 1, 0]"
Rudolf is on his way to the castle Before getting into the castle the security staff asked him a question Given two binary numbers a and b of length n How many different ways of swapping two digits in a only in a not b so that bitwise OR of these two numbers will be changed In other words let c be the bitwise OR of a and b you need to find the number of ways of swapping two bits in a so that bitwise OR will not be equal to c Note that binary numbers can contain leading zeros so that length of each number is exactly n Bitwise OR is a binary operation A result is a binary number which contains a one in each digit if there is a one in at least one of the two numbers For example 01010 2 10011 2 11011 2 Well to your surprise you are not Rudolf and you don t need to help him ldots You are the security staff Please find the number of ways of swapping two bits in a so that bitwise OR will be changed ,"[0, 1, 1, 0, 0]"
